family,method,regime,n_assets,budget,noise_level,depth,shot_budget,mitigation_label,mean_best_energy,std_best_energy,mean_gap,mean_ratio,median_best_energy,success_probability,p_succ,mean_valid_ratio,mean_runtime_seconds,mean_runtime_per_call,mean_total_shots,mean_shots_per_call,mean_objective_calls
classical_baseline,classical_bo_surrogate,clustered,4,2,0.0,1,32,none,-0.15859028622882052,,0.021012764934749878,1.1169955899892416,-0.15859028622882052,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,classical_bo_surrogate,clustered,4,2,0.0,2,32,none,-0.15859028622882052,,0.021012764934749878,1.1169955899892416,-0.15859028622882052,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,classical_bo_surrogate,clustered,4,2,0.04,1,32,none,-0.15859028622882052,,0.021012764934749878,1.1169955899892416,-0.15859028622882052,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,classical_bo_surrogate,clustered,4,2,0.04,2,32,none,-0.15859028622882052,,0.021012764934749878,1.1169955899892416,-0.15859028622882052,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,classical_bo_surrogate,clustered,6,3,0.0,1,32,none,-0.23514448218268763,,0.03749011200273483,1.1375104730004928,-0.23514448218268763,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,classical_bo_surrogate,clustered,6,3,0.0,2,32,none,-0.23514448218268763,,0.03749011200273483,1.1375104730004928,-0.23514448218268763,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,classical_bo_surrogate,clustered,6,3,0.04,1,32,none,-0.23514448218268763,,0.03749011200273483,1.1375104730004928,-0.23514448218268763,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,classical_bo_surrogate,clustered,6,3,0.04,2,32,none,-0.23514448218268763,,0.03749011200273483,1.1375104730004928,-0.23514448218268763,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,classical_bo_surrogate,high_corr,4,2,0.0,1,32,none,-0.14958716843429684,,0.013404519087361538,1.0822405074220753,-0.14958716843429684,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,classical_bo_surrogate,high_corr,4,2,0.0,2,32,none,-0.14958716843429684,,0.013404519087361538,1.0822405074220753,-0.14958716843429684,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,classical_bo_surrogate,high_corr,4,2,0.04,1,32,none,-0.14958716843429684,,0.013404519087361538,1.0822405074220753,-0.14958716843429684,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,classical_bo_surrogate,high_corr,4,2,0.04,2,32,none,-0.14958716843429684,,0.013404519087361538,1.0822405074220753,-0.14958716843429684,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,classical_bo_surrogate,high_corr,6,3,0.0,1,32,none,-0.2247372244893317,,0.027822275735756852,1.110161271743731,-0.2247372244893317,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,classical_bo_surrogate,high_corr,6,3,0.0,2,32,none,-0.2247372244893317,,0.027822275735756852,1.110161271743731,-0.2247372244893317,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,classical_bo_surrogate,high_corr,6,3,0.04,1,32,none,-0.2247372244893317,,0.027822275735756852,1.110161271743731,-0.2247372244893317,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,classical_bo_surrogate,high_corr,6,3,0.04,2,32,none,-0.2247372244893317,,0.027822275735756852,1.110161271743731,-0.2247372244893317,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,exact_feasible,clustered,4,2,0.0,1,32,none,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,exact_feasible,clustered,4,2,0.0,2,32,none,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,1.0,1.0,0.0,,0.0,,0.0
classical_baseline,exact_feasible,clustered,4,2,0.04,1,32,none,-0.1796030511635704,,0.0,1.0,-0.1796030511635704,1.0,1.0,1.0,0.0,,0.0,,0.0
